12:13:14.433 > 133,2.3592622,1.4767386,25.12,24.3386896,0.0000862281
12:13:14.440 > 134,2.3594773,1.4809602,25.12,24.3370505,0.0000883389
12:13:14.447 > 135,2.3609343,1.4853624,25.12,24.3501311,0.0000905400
12:13:14.454 > 136,2.3604341,1.4897145,25.12,24.3397766,0.0000927160
12:13:14.461 > 137,2.3615184,1.4943153,25.12,24.3481878,0.0000950164
12:13:14.469 > 138,2.3622406,1.4992297,25.12,24.3519384,0.0000974736
12:13:14.476 > 139,2.3628371,1.5043752,25.12,24.3539531,0.0001000464
12:13:14.483 > 140,2.3628771,1.5085117,25.12,24.3502973,0.0001021146
12:13:14.490 > 141,2.3638911,1.5131886,25.12,24.3577873,0.0001044531
12:13:14.497 > 142,2.3639629,1.5185272,25.12,24.3533090,0.0001071224
12:13:14.504 > 143,2.3648660,1.5233710,25.12,24.3593027,0.0001095443
12:13:14.511 > 144,2.3657153,1.5295504,25.12,24.3633161,0.0001126340
12:13:14.519 > 145,2.3657763,1.5347141,25.12,24.3588849,0.0001152158
12:13:14.526 > 146,2.3664591,1.5400045,25.12,24.3617885,0.0001178610
12:13:14.533 > 147,2.3691280,1.5454850,25.12,24.3883323,0.0001206013
12:13:14.541 > 148,2.3682079,1.5509266,25.12,24.3718510,0.0001233221
12:13:14.548 > 149,2.3690608,1.5573363,25.12,24.3756761,0.0001265270
12:13:14.555 > 150,2.3693435,1.5635840,25.12,24.3728197,0.0001296508
12:13:14.562 > 151,2.3699346,1.5691351,25.12,24.3743621,0.0001324263
12:13:14.569 > 152,2.3705268,1.5756021,25.12,24.3750019,0.0001356598
12:13:14.577 > 153,2.3704305,1.5820326,25.12,24.3674155,0.0001388751
12:13:14.582 > 154,2.3710458,1.5884215,25.19,24.3684099,0.0001420695
12:13:14.590 > 155,2.3732917,1.5955118,25.19,24.3882704,0.0001456147
12:13:14.597 > 156,2.3728158,1.6028031,25.19,24.3752685,0.0001492603
12:13:14.605 > 157,2.3733160,1.6091475,25.19,24.3749284,0.0001524326
12:13:14.612 > 158,2.3744926,1.6166089,25.19,24.3815853,0.0001561632
12:13:14.620 > 159,2.3751440,1.6240605,25.19,24.3819500,0.0001598890
12:13:14.628 > 160,2.3758190,1.6313426,25.19,24.3827664,0.0001635301
12:13:14.635 > 161,2.3755655,1.6379979,25.19,24.3730709,0.0001668577
12:13:14.643 > 162,2.3772497,1.6466041,25.19,24.3846750,0.0001711608
12:13:14.651 > 163,2.3779047,1.6544231,25.19,24.3847142,0.0001750704
12:13:14.658 > 164,2.3785877,1.6616011,25.19,24.3857340,0.0001786593
12:13:14.665 > 165,2.3791244,1.6698344,25.19,24.3839399,0.0001827760
12:13:14.673 > 166,2.3795133,1.6778039,25.19,24.3806377,0.0001867607
12:13:14.680 > 167,2.3804440,1.6861565,25.19,24.3834545,0.0001909370
12:13:14.688 > 168,2.3806159,1.6947073,25.19,24.3769656,0.0001952124
12:13:14.695 > 169,2.3810802,1.7024952,25.19,24.3747490,0.0001991064
12:13:14.702 > 170,2.3817365,1.7115711,25.19,24.3735486,0.0002036443
